Text,Polarity,With Emoji
"Goods yung lanyard, lakas maka sosyal since pearl pearl ang style nya. Happy naman ako sa purchase koooo :))))) thanks!",2,0
"magandaa syaa but nangingitim agad sa unang gamit palang. maganda yung pearl or bids na lahat, i recommend this shop pa rin, thankyou!",2,0
Delivery time is still ok. Items are packed individually although no bubble wrap but still ok. Itrms look nice and functional.,1,0
Got this on 9.9. Thanks for the fast shipping seller. Was able to use it once and it serves its purpose naman. Hoping to use it for a long time :),1,0
All items received! Fast shipping! what you see is what you get! they are very beautiful! Good to know that it came before an event ehe!!,2,0
thank you so much po thank you so much po thank you so much po thank you so much po thank you so much po thank you so much po,2,0
"I'm already using it and sobrang satisfied ako hahahahaha, thank you so much po, sasusunod nalang hahahahaha. Thanks..",2,0
So cute! So cute! So cute! So cute! So cute! So cute! So cute! So cute! So cute! So cute! So cute! So cute! So cute! So cute! So cute!,2,0
Maganda at hindi agad nadudurog beads sana hindi agad maputol. Salamat shopee at salamat shopee kudos din sa rider na suki ko na hehe,2,0
Okay naman po. Thank youuuOkay naman po. Thank youuuOkay naman po. Thank youuuOkay naman po. Thank youuuOkay naman po. Thank youuuOkay naman po. Thank youuuOkay naman po. Thank youuuOkay naman po. Thank youuuOkay naman po. Thank youuu,1,0
"Ang gandaaaaa and kumpletooooooo""",2,0
"Cutie ng size,, hindi malaki hindi rin sobrang liit. Mura na maganda paa. Maganda yunh package. Try buyingg it guys,, hindi sayang.",2,0
Maganda Naman Siya kompleto Naman lahat,2,0
They are all very cute and elegant. Hope the color won't fade. Thank you very much to the seller and to the rider for the fast delivery!,2,0
" Sa parents ko kasi pinadeliver. Anyway, tuwang tuwa naman sila. Sulit naman ang binayad. Pag naiwala nila lahat, order ulit ako haha",2,0
Mabilis ang shipping. Complete orders! Thankyouu,2,0
"Ang  ganda po, thankyou seller thankyou shopee
Ang  ganda po",2,0
"Ang cute po ng mga lanyards, wala pong damage or something. Thank you so much po seller. Nagustuhan po nang mga kapatid ko, God bless po",2,0
ORDER RECEIVED!!!!! Mabilis lang rin naman dumating at maship. Pang ilang time ko na umorder here thank u seller!!!!!!,2,0
Quick and easy transaction. Item was lightly packed but that doesn't bother me. Looks nice and sturdy. Definitely recommended for those who want to add a little oomf to their outfits.,2,0
"Ganda po, para lang din talagang necklace.. Sana magtagal.. Thank you kay kuya sa pag deliver..",2,0
Manipis yung scrunchies na see through pero cute naman. Sa earrings naman mali yung pinadala pero okay lang. Nagustuhan ko naman. Pero next time please inform the customer kung hindi available yung item na inorder nila. Tnx!,1,0
Thank you shopee. Salamat seller. Maganda po sya sakto lang din ang haba. Order po ulet ako next time.  Mabilis din nman po dumating.,2,0
it's so cutee!! magkakaiba pa sila ng ziplock but wala syang bubble wrap pero wala namang damage yung mga item kaya 5 star pa rin<33,1,0
Ang Ganda ng item and mabilis din na naideliver . Worth it naman sya sa price nya and magagamit talaga sya araw-araw. Thank youuuuu,2,0
"Thank you for the fast transaction seller, and for shipping my order quickly, will order from this shop too next timeeee",2,0
Fast delivery thank you seller for this I really like it. Di na ako mahihirapan pa minsan hinahanap ko facemask ko kung saan nilalagay. Salamat po,2,0
Simple at ok nman sya sa price nya............................  ......................... .....................,1,0
Sobrang bilis po ng shipment at sobrang sulit at sobrang ganda nice quality thhhhaaaannnkk yyooouuu sellleeerrr,2,0
"Thank you shopee and thank you kay seller.
Ang ganda. Sulit lang sya sa price. Ang bilis dumating.bibili ulit ako soon. Thank you ulit.",2,0
Maganda po. Worth for its price. Sakto din sa facemask ko. Thank you seller. More customers to come. God bless and take care.,2,0
Thank youuuuuuuuuuuuuuuuu sooooooooooooooo muuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuchhhhh,2,0
THANK YOU POOOOOO!!!! WE REALLY LOVE IT POOOOOOO!!!!! THANK YOU POOOOOO!!!! WE REALLY LOVE IT POOOOOOO!!!!! THANK YOU POOOOOO!!!! WE REALLY LOVE IT POOOOOOO!!!!!,2,0
Items were well packaged and delivered immediately... The rider is also accommodating!,2,0
Ang ganda medyo maiksi lang pero pag NASA mask Naman na Siya humahaba tignan dahil sa string na nilagay sa Tenga. Bili ulit kami next time. Thank you!,2,0
Goods naman medyo maigsi lang di ko inexpect pero sakto lang naman den thankyouverymuch Godbless you this is my second purchasing this item,1,0
Good Good quality Good quality Good quality Good Good quality Good quality Good quality Good Good quality Good quality Good quality,2,0
Thank you seller for these 3 beautiful mask holder i bought from you.,2,0
"Yung gold chain + pearl po sira yung white naman okay na okay..
Sana check muna kung may sira po...
The video isn't related but as for the product",0,0
Thank youuuu!!!! Thank youuuu!!!! Thank youuuu!!!! Thank youuuu!!!! Thank youuuu!!!! Thank youuuu!!!! Thank youuuu!!!!,2,0
maganda naman yung item. Maayos nung dumating at walang damage. Salamaattttttttttttttttt,2,0
So happy with this. Laki ng natipid ko. Salamat seller. Salamat shopee. Really happy. Salamuch!!!!!!!!!!!!!!!!!!!!!!,2,0
Very nice product!!! I like it!!! Thanks sa Seller at thank you den sa very kind Rider. Will order again next time pag me promo at sale...for my daughter and nieces din...thank you talaga...ang ganda..ibang klase naman next time orderin ko. Maraming salamat sa product..have used it immediately .,2,0
Maganda,2,0
The product is the same with the provided pictures/description. Walang sira ang package tapos nakalagay pa ang product mismo sa loob ng maliit na plastic bago ilagay sa pouch ng carrier.,0,0
Ok ok ok ok ok po.lahat uulit aq ng order d2 salamat,1,0
"Okay naman kaso may tanggal na isang pearl so d sya pantay pero overall okay naman
Order ako ulet next time pag nasira na to",1,0
"Mabait din si kuyang rider... I hope magkaroon sila ng pang men .. Will order again""",2,0
Received na po. Ang cute ng holder. Sana magtagal at ang mura rin. Nagamit ko na rin siya. Baka bumili p ako ulit. Ty seller.,2,0
ok sa alright solved ang solusyon matindi tong item walang lugi. salamat seller salamat shopee salamat delivery rider.,1,0
maganda po yung lanyard ang super bait po ni sellerrrreeeeeeeereeeeeeee,2,0
"I love this. Good buy. Thank you, seller!",2,0
Thank you po maganda siya and wala namang sira. Shipping took 3-4 days to arrive. Mahaba naman siya sakto lang po. Thank u seller,1,0
"I liked my selected orders of Lanyard. What you see in the picture, that's exactly the same in actual. Shipped immediately.",0,0
"Hopefully mabilis maubos tong paninda ko..salamat sa seller..""",0,0
Ok naman ung narecieve ko maganda at cute sya tyaka mahaba yung pinaka chain nya...thank you po at ky kuya na nagdeliver tnx din po,1,0
Ok naman na sana kaso yung black kulang ng isang hook para masabitan ng masks,1,0
Maganda po yung items and complete naman. Kaso yung isang black po kulang ng isang lock. Sana po pacheck na lang ng mabuti ng items bago maship para po sure na maayos ang condition ng items. Thanks seller!,2,0
Thank you.. Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..Thank you..,2,0
"Thank you so much for this wonderful product. Good quality. It is indeed very worth the money, especially it is very affordable. Glad I buy at this shop. Also, tysm for fast delivery.",2,0
gandaaaaa medyo maliit nga lang pero laban na mga besh HAHAHAHSHHAHAHAHAHAHA super bilis din dumating inorder ko sya nung 15 tas 2 days lang yata ganoin,2,0
thank you thank you thank you thank you thank you thnk you thank you thank you thank you thank you thank you so muchhhhhhhhh complete order and fast delivery,2,0
"received my order correctly. items have good quality, well packaged and shipped immediately. thankyou seller definitely will order again.",2,0
Second time to order in this shop. Highly recommend the items arrived in good condition ang ganda at sakto lang ang haba thanksss seller,2,0
Nag order po ako ng 2 tapos di po nagana yung mic ng pareho. Nagrequest po ko na masauli at marefund pero di nirecognize ni shopee :( Ok naman yung naririnig na music pero need kasi ng mic para sa online class ayun sad lang. Not sure kung nasakto lng sa akin pero hopefully di maranasan ng iba. GBU.,1,0
"Ok naman, kaso hindi gumagana yung kabila, ok lahat ng colors na order ko pero sana chineck din ng seller. Pero maganda..",1,0
"Don't expect good quality for the price you paid, one item didn't last a week. Tho nagamit Naman cya. Kaso dna humans agad Yung isa.",1,0
Gumagana kaso hindi nasunod yung color ,1,0
The earphones work pero it's somehow low on volume and kinda hard to use when someone is not speaking loudly in the conference meeting online but it works..,1,0
"it's great naman tho i have to say na white yung inorder ko but black dumating haha, sana magtagal to at di agad masira after 4 days.",1,0
"it's okay, the quality sucks but hey its cheap. it works, i was worried it would came damaged or it won't work but it did and im def not gonna use this to listen to music, ill just use it for online class. ill just buy a more high quality one for listening to music lol. thanks anyways! :))",1,0
item ship on time. sad kasi di gumagana yung isang earphones. pati yung mic hindi gumagana pero yung isa ok naman.......,1,0
loyal customer ako dito pero ngayon lang nangyari na kulang ang order ko. sa picture na sinend tatlo ang earphones pero yung na received ko dalawa lang. sana po wag na maulit sa iba. hahayaan ko na lang muna pero sana wag na maulit,0,0
Quality is good. Shipping is fast. I bought a lot but 2 were defective the other bud wasn't working. Hopefully on next order this won't happen again.,1,0
Got this from 9 pesos promotion. Kahit 40 sf. Ok lang. Pero ung product dumating sakin hatak ung wire. Tumutunog naman both kaso lang dahil nakalabas wire baka madali ng masira. Nilagyan ko ng tape para di mahatak lalo wire. Hays.,1,0
"The seller shipped it immediately, the sound of the earphones is not clear, and there is no bubble wrap as a packaging hopefully this review will improve them",2,0
It shipped on time but good sound quality but It broke in a week,1,0
Ok naman at gumagana kaso ung color po ay ang expect po namin ay light or purple pero ang dumating po ay dark blue at medyo violet po sya pero ok napo to tnx,1,0
It looks good but it also look damaged Hearing - 6/10 - full volume and its like im listening at half of the volume,1,0
"I've ordered 2 earphones, isang white and isang pink. This is the pink one and I think it's damaged, gumagana naman but every time na isasaksak ko nagloloko ung volume level and di siya ganun kalakas. But considering the price, I wasn't expecting anything. Still, thank you.",1,0
goods naman kaso not working yung isang earphone,1,0
Mukhang okay.,1,0
nagorder ako ng dlawa. tama nmn ung colors pero ung yellow may glitch sa audio quality nya. dahil sa mga glitch sumakit ang ulo ko... mura nmn siya so expected...,1,0
The pink earphone is okay but the white earphone is painful and I don't know why. It's good the sound is perfect.,1,0
Hindi nasunod yung inorder kong colors. It's okay pareho naman earphones and good quality,2,0
Tatlo ang inorder ko good quality nman kaso yung isa may crack,1,0
"Very approachable ang seller. Medyo mahina ang audio ng product. Still, thumbs up for me.",0,0
Medyo grounded pero oks na,1,0
mejo sabog yung tunog hehehe,1,0
"All earphones except 1 ""PINK"" one works fine. May anggulo na hindi pumapangit yung quality ng sound - humihina lumalakas. Pero ok na para sa price",1,0
"ayos naman na, kaso may garalgal masyado",1,0
"Cutie ng color ng item.. Gumagana yung sky blue okay sya.. kaso yung kaliwang bahagi ng earphone na dark blue is nakahiwalay na, okay sana kung gumagana kasi pwede pa naman idikit kaso hindi na e:(",1,0
"Mabilis masira,tatlong araw plang nagagamit hindi na agad gumagana,masakit din sa tinga,pero yung wire niya hindi madaling masira",0,0
Goods na sana kaso baliktad yung sounds left pero right yung naririnig.,1,0
"Gumagana naman lahat, kaya nga lang isa lang yung macaroon",1,0
"the audio is muffled, mukhang madali masira ang product pero worth it for its price... i think",1,0
i give you 3 star kasi mali mali yung pinadala na design akala ko kasi parehas lahat tapos me dipa gumagana dala pero salamat na din,1,0
"nasira agad yung isa 2 days palang nagamit, yung isa still working oa naman, thank you :)",0,0
Out of the four products isa lang yung gumagana ng maayos yung isa pede naman yung dalawang earphones but yung speaker is may tumutunog pag may kausap well what do i expect cheap lang naman,1,0
Maganda sya kaso nga lang parang may natanggal sa part ng nasa earphone. Sana magtagal sya Para kasing disposable lang sya. Ill change my ratings next week kung tatagal sya.,1,0
"Ok naman yung iba yung gray ayaw gumana nung left side,,,nag chat ako kay seller d nag rereply!",1,0
1week of using this earphones so far okay naman matibay pa and good ung music quality pero di lang ganon kalakas at naririnig paren backround music pero not bad for a cheap price.,1,0
Ung isa pong earphone hindi gumagana ung kabilang earbuds.. may refund po ba?,0,0
Yung isang earphone po ay mahina and yung isang earphone naman Mali naman po yung color pero malakas naman yung sounds.,1,0
3star 4 me .. ok na sana kaso hindi nagana Yung isang 1item Buti nlng dalawa binili ko.,1,0
"MAGANDA SYA AT MALAKAS EPRO NUNG PANGALAWANG ARAW NASIRA AGAD ANG BILIS KASI MAPUTOL DUN SA MAY MIC HINDI MATIBAY, PERO OKAY LANG KASI MURA LANG NAMAN BIBILI NA LANG ULIT AKO BAGO KAPAG BIBILI KAYO DITO DAPAG HINDI KAYO MALIKOT KAPAG SUOT NYO KASI BAKA MAPUTOL DIN SO INGAT NA LANG",2,0
Maganda yung earphone. Medyo mahina lang yung sounds sa kabila pero ok na rin dahil sa price niya.,1,0
"My second time to purchase. I had no problem with the first item I purchased. Ngayong pangalawa, one of the headsets is defective. Thanks pa rin, seller.",0,0
"low quality sounds, match lang sa cheap price. Cheap price low quality! pero still ty",1,0
"Gumagana naman sya pagdating, medyo kinabahan lang ako sa una nung ti-nry ko kasi mahina lang yung sounds. Pero atleast gumagana naman sya and mura yung price. So, puwede na rin. Tama naman yung dumating nancolor na inorder ko. Anddd ang bilis nya rin dumating like wala pang 2 days dumating na agad.",1,0
"as u can see,hindi po maayos yung packaging at dipo siya naka bubble rap,but its working naman.",1,0
"Okay naman yung design, yung colors are darker than it looks like in the pictures. Downside talaga yung muffled audio quality ng earphones, yung mic naman medyo mahina mag pickup ng sound",1,0
Mali yung color but its good,0,0
ok naman yung quality nung isang order yung isa mejo mahina siya pero ok na rin sa price nya,1,0
The packaging is great. But trying the actual product to my phone it only produces low sound also the quality just a little bit ungood. But all in all just enough for its price and its quality,1,0
Bakit gray yung dumating wrong color pero ok naman,1,0
"After 3 days the left earphone has not been working, it is definitely what you pay is what you get.",0,0
I got a blue colored one but the quality is good,1,0
"Medyo mahina sya, not worth it. Sayang pera",0,0
"Not the kind of quality that I'm expecting, quite disappointed. Fast delivery naman.",1,0
3/5 kasee isang araw lng sya and dumating dto okay nmn sya and pag gamit ko nde nagana ang isa ganda ng quality and natagalan lng ang pag dating ok sna kso di nagana ang right...,1,0
"First of all tlga, sa color ako na hook. When i tried it naman okay naman siya medyo hindi lang clear yung boses ko when I video call my cousin and then biglang hindi na lang ako narinig. But so far good siya for listening music and watching dramas.",1,0
fast delivery but the item itself madali masira pero what was i expecting eh 27 pesos lang sya.,1,0
"It was in good condition, but the problem is the audio from the earphones are quite low even if the volume from my phone is in max, yet its still coming out as a low volume which is very difficult for me to hear some parts because of the earphone.",1,0
2nd time buying but got 2 defective items again. Nakakapanghinayang maganda naman kasi sound quality nung iba pero yun nga. Bilis din ng shipping and murang mura,2,0
"Kala ko papel lang laman wala man lang bubble wrap pero sinulit sa lagayan medium pouch ata ginamit dito. Pero nung buksan yun parcel ok nman both earphone sakto ang tunog at gumagana din yung microphone at audio, kaso walang volume.",1,0
"Overall maganda naman yung product maganda yung quality pero gagamitin ko kasi siya dapat sa pc or sa laptop ko kaso napansin ko, baliktad yung pagkaka ayus ng stereo kaya medyo dissapointing lang kaya 3 stars pero overall maganda naman siya ayus pag nakikinig ng music gamit cellphone so yeah yun",1,0
Mali yung isang earphones na pinadala. Dapat new air pro 3. Pero okay naman sound nung earphones sakto lang sa price. Ok din pagkakabubble wrap hindi talaga madadamage yung item.,1,0
"It's nice pero mahina sya, kahit nakafull na yung volume medjo mahina parin sya.",1,0
Okey nman sya medyo mahina nga lng Sakto sa pera ang qualit anyway thanks ho,1,0
"the left side of the earphones doesn't work at all, but the packaging and shipping time was good.",0,0
Maganda naman sulit bayad kaso sira ung isa. Apat inorder ko at ung isa sira sayang kasi para sa kapatid ko ung isa tapos sira pa.,1,0
"Okay na sana kasi maganda yung tela but the print hays, natatanggal siya agad. Hindi ko pa nalalabhan pero natatanggal na paano pa kaya kapag nilabhan na. A bit disappointed.",1,0
Okay sya pangalawang order kona kaso itong pangalawa mejo grey na may glitters yung sulat nya hindi sya white tas butas yung design sa likod,1,0
"The quality of the cloth as well as the print is OK, probably 3.5/5. Washed it once, and thankfully the print didn't fade like the other reviews say. Hope it stays that way tho after multiple washes. Regardless, thank you!",1,0
Panget ng pagkakaprint nung isa.. pero okay naman ung isa.. kaya 3s pede naman na.. okay din ung tela.. ................,1,0
The item is of correct variation and size. I am just not quite sure with the print's quality.,0,0
Maganda sya pero manipis lang tsaka yung print parang matatanggal agad isang laba mo lang tsaka yunh amoy din parang gamit na sya yunh isa hindi namn pero yung isa amoy pawis.,1,0
Maganda sana quality. Kaso grabe naman pala sizing nito. Pang plus size na yata to mali pala ang xl dapat pala medium lang . Sobrang tagal dumating,1,0
"Una, masasabi ko mabilis sya dumating. 2 days lang dumating na. About naman sa quality. Ayos naman sya. Di manipis at sakto lang yung kapal. Maganda na para sa price nya. Medyo may damage lang sa text sa harap yung napapunta sa akin. Sana macheck ng ayos sa sunod. Pero overall oks naman.",1,0
Maganda naman kaso pagnalabhan nasisira print,1,0
Okay lang.,1,0
ok naman pero yung tela mainit sa katawan,1,0
"Thiner than expected. Not the fit that I expected. Still good, but could be better. Design is okay.",1,0
"Okay yung quality nung shirt, nagustuhan ko. Kaso supeeer tagal nung delivery, shopeepay na ginamit ko nun ah. Sumakit ulo ko sis. HAHA JNT nalang gamitin next order ko dito. Anyways, salamat seller!",1,0
Hindi maganda yung quality hindi katulad nung unang order ko! Mabilis naman shipping. Pwede na. ,0,0
"Not satisfied pero ok na rin dahil mura lang naman , for everyday use nalang and parang di sya pwede i machine wash parang mabilis masisira yung print, matagal din dumating, almost a week. Yun lang salamat shopee",1,0
Maganda Yung tela Pero bakit ganun Yung print may damage na agad,1,0
"HONEST REVIEW: Nasobrahan ata sa init yung print nyo dunidikit yung print tas kapag tinggal sira din yung print, ganda sana ng tela at design, ekis lang sa print, ayusin nyo na yung pagkakaprint nyo next time, eguls eh sayang design nyo",0,0
"goods na goods siya sulit, pero ibang design lang yung nabigay sana nextime perfect na.",1,0
Maganda quality kaso. Mayroon mali na size naipadala. Pero okay na rin wala ng magagawa mahirap naman ireturn item sana icheck mabuti tska yung space jam na dami wala namn palang backprint nkakaloko ung ads hehe,1,0
"Maganda yung designs, kaso yung pag kakaprint di pulido.. mukhang madali mabakbak. Okay sana siya pero ayun yung pag kakaprint lang yung problem haha ganda pa naman ng designs",1,0
Took so long to arrive. Okay lang siya. Okay lng ang print. Maayos kasi cotton. Okay lang binigay ko sa boyfriend ko. Might buy again,2,0
anlaki pala sa akin ng large HAHAHAH ok lang item no need naman magreklamo kasi mura lang talaga maganda yung item thank you seller,1,0
MAAYOS NAMAN. PERO MEDYO DI MAGANDA ANG PAG KAKAPRINT NG TATAK DAHIL MAY SABLAY PERO ALL GOODS NAMAN. MAAYOS NAMAN. PERO MEDYO DI MAGANDA ANG PAG KAKAPRINT NG TATAK DAHIL MAY SABLAY PERO ALL GOODS NAMAN. ORDER NA KAYO.,1,0
Haaaysst... Second order ko na to kala ko chinicheck nila ang items... Napunit ang kanyang print ok naman ang quality sa shirt pero sa print mismo ang low quality... Sinabihan ko sila before na purchase ko na ang order ko pero na ulit parin...,1,0
"Ayos naman yung product, makapaal din yung telaa niya kaya medyo mainit kapag sinuot pero pwede namaan naa. Mabiliis din dumating yung parceel",1,0
Actually maganda naman siya kaso Yung isang product medyo malabo Yung print ok na din naman sa price niya................,1,0
"maganda kaso malaki, pang lalaking size oks lang lods bagay naman sakin",1,0
"Disappointed with the quality of prints. parang ilang laba lang masisira agad yung print. However, the shirt is nice naman, cotton.",0,0
Medyo parang onti lang pero ok naman sya thank you seller ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎︎ ︎︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎,1,0
The liptint itself is nice but easily worn off. It’s matte but not waterproof,1,0
Okay naman yung products. Kaso late ng 2days delivery. Mas okay sana kung nagoffer ng help si seller to help me track the items kaso hindi. ,1,0
Maganda yung lanyard kaso manipis siya but it’s okay sa lahat ng binili ko nung payday sale ito yung pinaka nagustuhan ko bagay siya sa kahit anong outfit and also pwede mo rin isabit tih sa glasses mo sa useful talaga siya hehe,1,0
"Okay naman, medyo di lang accurate sa lagayan yung isa. I’m not sure if it still sanitize or what",1,0
"INORDER R20 DUMATING R40, ANONG KLASE YAN, SANA CHINENCK NYONA MUNA BAGO NYO ISHIP OUT, NAKAKAINIS LANG ANG DAMI KO PA NAMAN INORDER. INORDER R20 DUMATING R40, ANONG KLASE YAN, SANA CHINENCK NYONA MUNA BAGO NYO ISHIP OUT, NAKAKAINIS LANG ANG DAMI KO PA NAMAN INORDER. INORDER R20 DUMATING R40,",0,0
Wrong items. I ordered R20 but the seller deliver R40. Sayang i ordered 3 pieces pa naman tapos lahat mali. Madaya si seller. And di maayos mkipag usap sa chat. Nakaka disappointed. ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0,0
This is my third time ordering from the same shop. So far the service is good but this time the one I received was not the variation I ordered. I order r20 but on the packaging is r20,0,0
Lahat ng dineliver alang nagamit??God bless nalang po?? Lahat ng dineliver alang nagamit??God bless nalang po?? Lahat ng dineliver alang nagamit??God bless nalang po??bh,2,0
Right packaging for the wrong item it is R40 not R20. It has good sound quality yet disappointed for the wrong item. It was shipped immediately yet still disappointed for the wrong item. The seller is responsive yet still disappointed with the wrong item.,0,0
There's one with right piece in one can i get a replacement to R40?,0,0
"Both earphones are not working. Sent messages to the seller but are only being ignored. Packaging also states ""built-in magnets"" for the earbuds where in fact, they are not.",0,0
"sa mga magbabalak pang bumili, WAG NA :)) dahil lang sa curiosity q bumili aq neto pero di nagana, ansaki sa puso char pero expected naman dahil sa price hehe !! so WAG PO BUMILI NETO >:",1,0
Walang built in magnet guys! tyaka ibang iba sa itsura sa picture.,0,0
"Napakanipis. Wag gantong earphone bilhin nyo, sira yung kabilang bud sobrang hina ng tunog. Mura pero di sulit dahil defective. Hays. ??",0,0
"Di gumagana?? Sana tinesting nio po muna.. Dalawa pa naman binili ko.,Kaloka naman magbalik ng item. ??",0,0
Bought it for only 28 pesos. EDIT: FOR ONLY 2 WEEKS SIRA NA AGAD. MAGTAKE RISK KAYO KUNG GUSTO NIYO. PERO DAHIL NGA MURA MADALI MASIRA.,0,0
sabi built in magnets scam lang pala hindi na ako magtataka sa presyo nakakadismaya salamat nalang sa nagdeliverrrrrr,0,0
"Nakakabwisit naman, sabi sa description REALME pero ano itong product ninyo yung nabibili lang sa kalsada. ISA KAYONG MALAKING BUDOL!!!!! BUDOL BUDOL BUDOL BUDOL BUDOL",0,0
"Huwag na kayo umorder dito damaged pareho ang nabili ko. Hindi pwedeng pantawag. Yung isangf R20 pwede pang Music pero choppy pag pang calls. Yung R89, nag coconnect then didisconnect paulit ulit ng kusa. WASTE OF MONEY. HINDI din RESPONSIVE angf seller.",0,0
Ang pangit may sira siya. Sana next time po tignan niyo muna ang product sayang naman to hindi na magamit ang mic. But ang sound okay lang naman ang mic lang talaga pati ang pindutan ,1,0
