simple lang sya ,
tama naman ung mga kulay na pinadala ni seller ,
okay lang ,
pede na pagtyagaan for 50 pesos,
yung tela nya pede na ,
simple lang sya sa personal ,
oks na din,
average quality lang sya,
ped ena for its price,
goods naman sya ayun lang simple lang talaga sya ,
yung tela nya okay lang naman,
okay na din naman,
k langs ,
average lng ,
pede na ,
okay na din ,
pede na ,
okay lang naman ,
k lang naman ,
okay naman sya malambot sya pero simple lang ,
average quality naman ,
ok quality ,
goods na din naman ,
okay lang naman ,
oks lang ,
sa gantong prices ,
okay naman ,
goods lang naman oks lang ,
okay lang rin ,
okay naman yung dumating na short ,
okay na din ,
simple lang ,
oks narin to,
okay lang ,
sakto lang ,
hmm.. Medyo okay naman ,
pede na rin ,
simple lng naman sya ,
pede na rin ,
okay lang,
oks na din ,
pede na ,
simple lang sya pag dumating ,
oks lang ,
goods na rin ,
okay langs  naman,
average quality ,
k lang ,
goods naman sya ayun lang simple lang talaga sya ,
average product ,
okay naman yung item na dumating sakin for its price ganun na talaga,
pede na sya for its price,
okay na rin to ,
ok quality ,
average product ,
tama lang parang same lang to ng nabibili sa mga palengke ,
pepede na din to ,
oks na pede ng pagtygaaan ,
oks lnarin ,
What you see is what you get 👀👀,
don’t expect too much sa product na to oks lang sakto lang sa mababang prixce nya,
pede na rin ,
oks lang ,
Okay lang ,
yung tela nya okay naman ,
sakto lang ,
okay na rin ,
oks lang ,
tama lang yung item ,
dumating naman  yung parcel,
oks naman sya ,
pede na rin,
oks na rin ,
sakto lang ,
simple lang sya siguro wag na lang kayo mag expect ,
pede na din ,
 Okay quality ,
sakto lang ,
pede ng pagtygaan pang text at calls lang naman,
simple lang ung functionality nya ,
pede ng pagtyagaan di pede sa games pero pang general use ,
average product ,
pede na din sya pang araw araw gamitin ,
oks na rin ,
pede ng pagtyagaan oks na sa presyo ,
